1,Seyil,seyil@gmail.com,Single
2,Tom,tomm@gmail.com,Single
3,Sabina,sabbyn@gmail.com,Double
4,Bektur,beka@gmail.com,Suite
5,Ayana,ykaa@gmail.coma,Single
6,Jhon,jhony@gmail.com,Double
7,Janny,jaann@GMAIL.COM,Suite
8,Ajara,ajarka@gmail.com,Single
9,Islam,isa@gmail.com,Suite
10,Anna,anniea@gmail.com,Single
11,Kasym,kasya@gmail.com,Double
12,Amina,aminka@gmail.com,Single
13,Almaz,altyn@gmail.com,Double
14,Malika,malikk@gmail.com,Single
15,Bayel,bayya@gmail.com,Double
16,Nazimi,nazva@gmail.com,Double
17,Ruslan,russ@gmail.com,Suite
18,Kunduz,kudd@gmail.com,Suite
19,Artur,arty@gmail.com,Single
20,Karim,kara@gmail.com,Single
